Tag,Wording
d_1,媒体发布新闻和观点时，应有权不受政府控制。
d_2,我家之前几年的经济状况比现在要好。
d_3,总体来说，我们国家正在走向正确的发展方向。
d_4,如果人们有太多各种各样的想法，社会会变得混乱。
d_control,"
请指出您赞同以上多少项表述:"
intro_list,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。
"
e_1,我对政治非常感兴趣。
e_2,富人和穷人没有受到政府的平等对待。
e_3,我去过北京。
e_4,政府为所有人提供优质的公共服务。
e_sensitive,去年我被要求贿赂某位政府官员。
e_treatment,"
请指出您赞同以上多少项表述:"
intro_list,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。
"
e_1,我对政治非常感兴趣。
e_2,富人和穷人没有受到政府的平等对待。
e_3,我去过北京。
e_4,政府为所有人提供优质的公共服务。
e_control,"
请指出您赞同以上多少项表述:"
intro_list,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。
"
e_1,我对政治非常感兴趣。
e_2,富人和穷人没有受到政府的平等对待。
e_3,我去过北京。
e_4,政府为所有人提供优质的公共服务。
placebo_3,我出生于20世纪60年代。
placebo_4,我出生于20世纪90年代。
e_placebo,"
请指出您赞同以上多少项表述:"
fmc_e,您刚刚回答了一个问题，从一系列表述中选择了自己赞同的项目。以下有四项表述。其中只有一项出现在了之前的列表中。是哪一项？请选择该项，无论它是否属于您赞同的其中一项。
placebo_1_direct,"您是否同意下列说法? ""我出生于21世纪00年代""。"
placebo_2_direct,"您是否同意下列说法? ""我出生于20世纪70年代""。"
non_sens_direct,"您是否同意下列说法? ""总体来说，大多数人是值得信任的""。"
c_direct,"您是否同意下列说法? ""我信任常驻北京的国家政府""。"
d_direct,"您是否同意下列说法? ""我信任我的本地政府""。"
e_direct,"您是否同意下列说法? ""去年我被要求贿赂某位政府官员""。"
sponsor,最后一个问题. 您认为是谁委托进行了这次调查研究？
end,感谢您抽时间参与本次调查。您的回答已被记录。
